geonameid,name,latitude,longitude,country_code,population,timezone
2643743,London,51.50853,-0.12574,GB,8961989,Europe/London
5128581,New York,40.71427,-74.00597,US,8804190,America/New_York
1850147,Tokyo,35.6895,139.69171,JP,13960000,Asia/Tokyo
2988507,Paris,48.85341,2.3488,FR,2161000,Europe/Paris
