group,category,micro_category,classification_score,matched_terms,full_name,html_url,language,repo_stars,fork,archived,topics,description
AI / LLM,Agents,Coding agents and terminal assistants,12.2,"coding agent,opencode",anomalyco/opencode,https://github.com/anomalyco/opencode,TypeScript,181916,False,False,,The open source coding agent.
AI / LLM,Agents,Coding agents and terminal assistants,36.2,"claude code,codex,ai coding",automazeio/vibeproxy,https://github.com/automazeio/vibeproxy,Swift,3095,False,False,"claude-code,claudecode,cli-proxy,codex,factory-droids,gpt-5-codex",Native macOS menu bar app to use your Claude Code & ChatGPT subscriptions with AI coding tools - no API keys needed
AI / LLM,Agents,Coding agents and terminal assistants,12.2,"coding agent,claude code,codex",badlogic/pi-skills,https://github.com/badlogic/pi-skills,JavaScript,2110,False,False,,Skills for pi coding agent (compatible with Claude Code and Codex CLI)
AI / LLM,Agents,Coding agents and terminal assistants,12.2,"coding agent,claude code,codex",BloopAI/vibe-kanban,https://github.com/BloopAI/vibe-kanban,Rust,27248,False,False,"agent,ai-agents,kanban,management,task-manager","Get 10X more out of Claude Code, Codex or any coding agent"
